id,latitude,longitude,nome,descrizione
1,4282034852,1190938726.0,Parco di Villalba,Area boschiva di oltre 20 ha. situata ad un'altitudine fra i 600 ed i 700 metri e destinata dalla ComunitA  Montana a parco attrezzato.
2,4248227358,127175158.0,I Prati di Stroncone,"Vicino a Stroncone, borgo medievale arroccato su un colle ricoperto di uliveti e gelosamente protetto dalle solide mura castellane, si cela un vero e proprio luogo da sogno, a circa mille metri di altitudine."
4,4252461751,1251082625.0,Le Gole del Nera,"Le Gole del Nera, dove la natura, la cultura e la storia si incontrano da oltre duemila anni in un'atmosfera unica, sono una degna prosecuzione della Valnerina dopo l'attraversamento della Conca Ternana del fiume Nera."
5,4311391797,121387227.0,Rocca di Isola Polvese,"La rocca si trova nell'isola Polvese che, insieme all'isola Maggiore e alla Minore, occupa il bacino del Lago Trasimeno."
6,4317706039,1208824397.0,Isola Maggiore,"LaIsola Maggiore A"" la seconda per grandezza del lago Trasimeno e si presenta ricoperta da una fitta vegetazione di olivi, lecci e cipressi. A differenza dellaIsola Polvese e della Minore A"" ancora oggi urbanizzata; presenta infatti un piccolo villaggio sulla riva occidentale."
7,431994217,1222438348.0,Santuario della Madonna dei Miracoli,"Per raggiungere il santuario della Madonna dei Miracoli, bisogna recarsi a Castel Rigone, piccola frazione di Passignano sul Trasimeno."
8,4253670241,1275434388.0,"Piediluco, sport e relax sulla riva del lago","Piediluco, borgo medievale sull'omonimo lago, a breve distanza da Terni e dalla Cascata delle Marmore."
9,4343783258,1216224292.0,Palazzo Museo Bourbon del Monte,"Detto anche il Castello o Palazzo Marchionale, A"" un edificio storico di forme medievali e rinascimentali situato nel borgo di Monte Santa Maria Tiberina"
10,4302308435,1206966732.0,"Paciano, borgo medievale sulle colline del Trasimeno","Paciano, piccolo borgo medievale adagiato sulle colline del Lago Trasimeno, con un ricco patrimonio artistico"
11,4265536492,1242848829.0,Il piccolo borgo di Avigliano,"Avigliano Umbro A"" un piccolo borgo di origine romana che sorge sulla sommitA  di un colle a metA  distanza tra Todi ed Amelia"
12,4276240327,1277757692.0,"Eggi, il borgo fortificato a due passi da Spoleto","Eggi A"" un borgo fortificato a due passi dalla Via Flaminia e Spoleto dove potrai scoprire preziosi capolavori d'arte"
14,4314615942,1222786604.0,Rocca Monaldi,"Rocca Monaldi si erge isolata nei pressi di Magione, contornata da folta vegetazione. Con molta probabilitA  fu eretta nel XIV secolo, ma nel corso del tempo subA! alcuni cambiamenti per renderla piA1 conforme all'uso abitativo."
16,4312547425,1228875953.0,Chiesa di Sant'Agostino,"La chiesa convento di Sant'Agostino sorge sulla sommitA  di un colle, coperto di olivi, poco a Sud del colle di Corciano."
17,4317709655,1209013594.0,Museo del Merletto - Tuoro sul Trasimeno,"Il Museo del Merletto si trova nel palazzo delle Opere Pie, all'interno del piccolo villaggio posto sulla riva occidentale dell'isola Maggiore"
18,4272445394,1275288656.0,A Monteluco tra antichi eremi e chiese,Alle spalle di Spoleto il bosco sacro di meditazione e preghiera scelto anche da San Francesco
22,4266719277,1246129336.0,Centro di Paleontologia vegetale della foresta fossile di Dunarobba,"Il Centro di Paleontologia Vegetale A"" stato realizzato alla fine degli anni '90 per supportare l'attivitA  di studio sulla Foresta Fossile di Dunarobba ricostruendone le caratteristiche geologiche, climatiche, faunistiche attraverso reperti, pannelli esplicativi e modelli in scala."
23,4344222115,1243719825.0,"Pietralunga, borgo antico che domina la valle del Carpinella","L'affascinante borgo umbro circondato da colline, boschi e verdi vallate che offrono al visitatore bellissime sfumature di colori in tutte le stagioni dell'anno"
24,4287038569,1306443947.0,Abbazia di Sant'Eutizio,L'abbazia di Sant'Eutizio sorge a breve distanza da Preci
25,4318403568,1213823346.0,La Rocca - Passignano,"La rocca di Passignano sorge allainterno del paese, in posizione leggermente sopraelevata rispetto allaabitato sviluppatosi successivamente lungo la riva del lago. Passignano significa aLuogo del passoa. CiA2 fa riferimento probabilmente allaesistenza di una struttura militare romana che controllava il famoso aPassoa, via di collegamento tra il nord ed il sud della penisola."
26,4312878209,1228796854.0,Museo della Casa Contadina - Corciano,"Il Museo A"" nato nel 1976 grazie alla passione di alcuni cittadini e della locale Pro Loco, alla cui iniziativa si deve la ricerca e la raccolta di oggetti legati al lavoro dei campi e alle attivitA  domestiche e artigianali."
27,4302259156,1207086228.0,Palazzo Baldeschi ǽ���� Museo Banca della Memoria del Trasimeno,Palazzo Baldeschi sorge allainterno del piccolo borgo di Paciano.
28,43119299,1216602456.0,Museo della Pesca e del Lago Trasimeno,"Un ricchissimo percorso espositivo anche interattivo nel caratteristico borgo di San Feliciano, sulle sponde del lago Trasimeno, per conoscere laorigine del bacino lacustre e lo sviluppo delle attivitA  ittiche ad esso legate."
