dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,223.12355780601501,0.5363636363636364,0.5363636363636364,0.0,sigmoid,0.6514267016354713,3,100,11
dataset_name,RF,LCB,1,232.5506706237793,0.7214285714285714,0.7214285714285714,0.0,sigmoid,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,211.46933817863464,0.7,0.7,0.0,relu,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,225.0855519771576,0.5785714285714286,0.5785714285714286,0.0,softplus,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,227.40684914588928,0.7666666666666667,0.7666666666666667,0.0,softplus,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,226.07191371917725,0.7416666666666667,0.7416666666666667,0.0,sigmoid,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,214.90182757377625,0.77,0.77,0.0,sigmoid,0.26371555394544705,1,300,10
dataset_name,RF,LCB,7,220.00617218017578,0.6916666666666667,0.6916666666666667,0.0,sigmoid,0.04532730260123534,3,200,12
dataset_name,RF,LCB,8,215.89231944084167,0.5125,0.5125,0.0,sigmoid,0.6062938408449144,2,300,8
dataset_name,RF,LCB,9,220.17441821098328,0.8142857142857143,0.8142857142857143,0.0,sigmoid,0.4764929406059144,2,300,7
dataset_name,RF,LCB,10,218.54072833061218,0.775,0.775,0.0,sigmoid,0.5400251437362688,2,300,8
dataset_name,RF,LCB,11,209.15205574035645,0.84,0.84,0.0,softplus,0.5814668879585817,2,300,5
dataset_name,RF,LCB,12,212.2530493736267,0.7875,0.7875,0.0,softplus,0.5950921297660576,2,300,8
dataset_name,RF,LCB,13,214.6994059085846,0.7571428571428571,0.7571428571428571,0.0,softplus,0.5981865324273682,2,300,7
dataset_name,RF,LCB,14,207.27010416984558,0.7333333333333333,0.7333333333333333,0.0,sigmoid,0.5984214432109481,2,300,6
dataset_name,RF,LCB,15,212.3103380203247,0.8166666666666667,0.8166666666666667,0.0,softplus,0.598492249502338,2,300,6
dataset_name,RF,LCB,16,207.53568863868713,0.72,0.72,0.0,softplus,0.6010946161122379,2,300,5
dataset_name,RF,LCB,17,209.07236433029175,0.82,0.82,0.0,softplus,0.6003124815577798,2,300,5
dataset_name,RF,LCB,18,211.62371683120728,0.88,0.88,0.0,relu,0.6028075654926955,1,300,5
dataset_name,RF,LCB,19,200.55158829689026,0.88,0.88,0.0,relu,0.6037798544369087,1,300,5
dataset_name,RF,LCB,20,198.68495202064514,0.88,0.88,0.0,softplus,0.6048358711518906,1,100,5
dataset_name,RF,LCB,21,201.02764344215393,0.8,0.8,0.0,softplus,0.6106035610504977,1,300,5
dataset_name,RF,LCB,22,214.1321828365326,0.88,0.88,0.0,softplus,0.6262041437527862,1,300,5
dataset_name,RF,LCB,23,195.26949405670166,0.86,0.86,0.0,relu,0.6378791198550928,1,100,5
dataset_name,RF,LCB,24,190.44223141670227,0.72,0.72,0.0,sigmoid,0.7274451172005558,1,100,5
dataset_name,RF,LCB,25,194.97764539718628,0.7833333333333333,0.7833333333333333,0.0,relu,0.6824445544917181,1,300,6
dataset_name,RF,LCB,26,194.57737517356873,0.86,0.86,0.0,sigmoid,0.6119565842309216,1,200,5
dataset_name,RF,LCB,27,197.65022087097168,0.8714285714285714,0.8714285714285714,0.0,relu,0.6067380206326843,1,200,7
dataset_name,RF,LCB,28,196.8588171005249,0.8444444444444444,0.8444444444444444,0.0,relu,0.6036671219558228,1,200,9
dataset_name,RF,LCB,29,196.21253442764282,0.89,0.89,0.0,relu,0.6069890164079844,1,200,10
