dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,10.852428913116455,-0.33111169084004516,-0.33111169084004516,0.0,sigmoid,0.6514267016354713,3,100,11
dataset_name,RF,LCB,1,10.887991666793823,-0.27092680353863824,-0.27092680353863824,0.0,relu,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,8.810952186584473,-0.4436275644193522,-0.4436275644193522,0.0,sigmoid,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,8.783258438110352,-0.3551474316521581,-0.3551474316521581,0.0,softplus,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,8.821259260177612,-0.34906337979433094,-0.34906337979433094,0.0,softplus,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,8.28202509880066,-0.15987581895715489,-0.15987581895715489,0.0,relu,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,8.220889329910278,-0.20527870795758013,-0.20527870795758013,0.0,relu,0.26371555394544705,1,300,10
dataset_name,RF,LCB,7,8.978640079498291,-0.1840187236415978,-0.1840187236415978,0.0,relu,0.3802564898654867,1,300,15
dataset_name,RF,LCB,8,8.276261568069458,-0.2326820486929185,-0.2326820486929185,0.0,relu,0.1151797912815923,1,300,6
dataset_name,RF,LCB,9,8.642016887664795,-0.2301692615798295,-0.2301692615798295,0.0,relu,0.022754666958181527,1,200,11
dataset_name,RF,LCB,10,8.856176614761353,-0.2535027103176523,-0.2535027103176523,0.0,softplus,0.30235681717716767,1,300,13
dataset_name,RF,LCB,11,12.92699646949768,-0.21193375898710942,-0.21193375898710942,0.0,relu,0.4992153998027273,1,300,13
dataset_name,RF,LCB,12,10.202535390853882,-0.24148575575287154,-0.24148575575287154,0.0,relu,0.8744439304142244,1,300,12
dataset_name,RF,LCB,13,12.751508951187134,-0.22541442230676134,-0.22541442230676134,0.0,sigmoid,0.26551319406711676,1,300,12
dataset_name,RF,LCB,14,13.882270097732544,-0.1718004681884456,-0.1718004681884456,0.0,relu,0.2875671718525379,1,200,12
dataset_name,RF,LCB,15,13.034805536270142,-0.24481974099772116,-0.24481974099772116,0.0,relu,0.2831630851446863,2,100,12
dataset_name,RF,LCB,16,12.499598979949951,-0.24417948118493438,-0.24417948118493438,0.0,sigmoid,0.2960018336812002,1,200,11
dataset_name,RF,LCB,17,14.368828296661377,-0.26634155618464556,-0.26634155618464556,0.0,relu,0.33203635994719477,2,300,12
dataset_name,RF,LCB,18,12.021271228790283,-0.1723495479180337,-0.1723495479180337,0.0,relu,0.5653708189566848,1,300,13
dataset_name,RF,LCB,19,12.5265052318573,-0.18089707764397167,-0.18089707764397167,0.0,relu,0.5481692016796758,1,200,15
dataset_name,RF,LCB,20,10.240740776062012,-0.20386425082178983,-0.20386425082178983,0.0,relu,0.5776736218877824,1,300,15
dataset_name,RF,LCB,21,13.699204206466675,-0.1512179509388222,-0.1512179509388222,0.0,relu,0.5860483855837509,1,300,15
dataset_name,RF,LCB,22,10.283532857894897,-0.15895499498218177,-0.15895499498218177,0.0,relu,0.5994165758159435,1,200,15
dataset_name,RF,LCB,23,11.05019736289978,-0.2253586243120923,-0.2253586243120923,0.0,relu,0.8450506661687252,1,200,15
dataset_name,RF,LCB,24,8.889347314834595,-0.3591120014832237,-0.3591120014832237,0.0,relu,0.9414631029843445,1,200,15
dataset_name,RF,LCB,25,8.793945789337158,-0.1842571006732996,-0.1842571006732996,0.0,relu,0.6126160025565678,1,200,15
dataset_name,RF,LCB,26,8.729840517044067,-0.1826715862201562,-0.1826715862201562,0.0,relu,0.7071232844455567,1,200,15
dataset_name,RF,LCB,27,8.380300283432007,-0.19048080421975408,-0.19048080421975408,0.0,relu,0.6466500874885893,1,200,15
dataset_name,RF,LCB,28,9.132040739059448,-0.2218568977193472,-0.2218568977193472,0.0,sigmoid,0.5992452251197401,1,200,15
dataset_name,RF,LCB,29,9.980786561965942,-0.17864588097993103,-0.17864588097993103,0.0,relu,0.7568766782941594,1,200,15
