dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,186.99969220161438,0.8818181818181818,0.8818181818181818,0.0,relu,0.6514267016354713,3,200,11
dataset_name,RF,LCB,1,182.28970623016357,0.8928571428571429,0.8928571428571429,0.0,relu,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,167.49702095985413,0.6714285714285714,0.6714285714285714,0.0,sigmoid,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,170.5518229007721,0.6142857142857143,0.6142857142857143,0.0,softplus,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,174.96624779701233,0.7066666666666667,0.7066666666666667,0.0,softplus,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,172.3466830253601,0.925,0.925,0.0,relu,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,169.34419178962708,0.96,0.96,0.0,relu,0.26371555394544705,1,300,10
dataset_name,RF,LCB,7,178.3695945739746,0.8933333333333333,0.8933333333333333,0.0,relu,0.3802564898654867,1,300,15
dataset_name,RF,LCB,8,182.6325695514679,0.92,0.92,0.0,relu,0.08805669773859601,2,300,15
dataset_name,RF,LCB,9,166.04848718643188,0.8857142857142857,0.8857142857142857,0.0,sigmoid,0.024306994819125755,1,300,7
dataset_name,RF,LCB,10,171.51800179481506,0.9214285714285714,0.9214285714285714,0.0,relu,0.23794858069281358,1,200,14
dataset_name,RF,LCB,11,173.01265811920166,0.84,0.84,0.0,softplus,0.26332573886120797,1,200,10
dataset_name,RF,LCB,12,170.75005173683167,0.7923076923076923,0.7923076923076923,0.0,relu,0.7076711446447853,1,300,13
dataset_name,RF,LCB,13,173.8865568637848,0.7666666666666667,0.7666666666666667,0.0,softplus,0.33650605804287925,1,300,15
dataset_name,RF,LCB,14,171.7615876197815,0.7333333333333333,0.7333333333333333,0.0,sigmoid,0.2805436329197831,3,200,12
dataset_name,RF,LCB,15,179.3445816040039,0.9076923076923077,0.9076923076923077,0.0,relu,0.3137556441311344,3,200,13
dataset_name,RF,LCB,16,171.47939538955688,0.66,0.66,0.0,relu,0.7896465296178771,3,300,5
dataset_name,RF,LCB,17,164.22368693351746,1.0,1.0,0.0,relu,0.3320217829798615,1,100,7
dataset_name,RF,LCB,18,162.60649251937866,0.875,0.875,0.0,relu,0.33488883918907997,2,100,8
dataset_name,RF,LCB,19,170.0761559009552,0.8857142857142857,0.8857142857142857,0.0,relu,0.2839804246634699,3,100,7
dataset_name,RF,LCB,20,165.4039270877838,1.0,1.0,0.0,relu,0.47766540823231035,1,300,5
dataset_name,RF,LCB,21,166.0419738292694,0.8833333333333333,0.8833333333333333,0.0,relu,0.5232371292671145,1,300,6
dataset_name,RF,LCB,22,165.22897577285767,0.9833333333333333,0.9833333333333333,0.0,relu,0.5642929879564736,1,300,6
dataset_name,RF,LCB,23,167.1272737979889,0.95,0.95,0.0,relu,0.6032782564217469,1,300,6
dataset_name,RF,LCB,24,162.99279499053955,0.66,0.66,0.0,relu,0.7263012805276473,1,300,5
dataset_name,RF,LCB,25,168.2582242488861,0.7333333333333333,0.7333333333333333,0.0,relu,0.6512013242938693,1,300,6
dataset_name,RF,LCB,26,165.4752094745636,0.86,0.86,0.0,relu,0.5800325244865346,1,300,5
dataset_name,RF,LCB,27,164.36693239212036,0.8,0.8,0.0,relu,0.6030818864253435,1,300,5
dataset_name,RF,LCB,28,164.13855838775635,0.74,0.74,0.0,relu,0.327715057722783,1,200,5
dataset_name,RF,LCB,29,163.76943230628967,1.0,1.0,0.0,relu,0.4693700012867209,1,300,5
