dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,188.76105952262878,0.7181818181818181,0.7181818181818181,0.0,sigmoid,0.6514267016354713,3,200,11
dataset_name,RF,LCB,1,195.43309545516968,0.7357142857142858,0.7357142857142858,0.0,sigmoid,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,181.7383897304535,0.6428571428571429,0.6428571428571429,0.0,softplus,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,187.7899796962738,0.7214285714285714,0.7214285714285714,0.0,relu,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,195.1493697166443,0.8866666666666667,0.8866666666666667,0.0,relu,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,185.91071963310242,0.8333333333333334,0.8333333333333334,0.0,sigmoid,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,181.62678694725037,0.8,0.8,0.0,sigmoid,0.26371555394544705,1,300,10
dataset_name,RF,LCB,7,200.24588179588318,0.8583333333333333,0.8583333333333333,0.0,relu,0.4925828383537867,3,300,12
dataset_name,RF,LCB,8,192.14246582984924,0.8933333333333333,0.8933333333333333,0.0,relu,0.543836653796343,2,300,15
dataset_name,RF,LCB,9,187.61414170265198,0.84,0.84,0.0,relu,0.5809762247027712,2,100,15
dataset_name,RF,LCB,10,193.07974362373352,0.72,0.72,0.0,relu,0.747734328325264,2,100,15
dataset_name,RF,LCB,11,193.69954752922058,0.88,0.88,0.0,relu,0.6160527760253682,2,300,15
dataset_name,RF,LCB,12,188.53462934494019,0.8466666666666667,0.8466666666666667,0.0,relu,0.6227978935929498,3,100,15
dataset_name,RF,LCB,13,191.41007733345032,0.74,0.74,0.0,softplus,0.6078357139319179,2,200,15
dataset_name,RF,LCB,14,191.19973039627075,0.8,0.8,0.0,relu,0.5909736978030992,2,200,15
dataset_name,RF,LCB,15,190.55564975738525,0.8333333333333334,0.8333333333333334,0.0,relu,0.6367743043788481,2,300,15
dataset_name,RF,LCB,16,189.62655687332153,0.8666666666666667,0.8666666666666667,0.0,relu,0.5536898165410947,2,200,15
dataset_name,RF,LCB,17,188.46754550933838,0.8909090909090909,0.8909090909090909,0.0,relu,0.5282347486612841,2,200,11
dataset_name,RF,LCB,18,186.39160895347595,0.9,0.9,0.0,relu,0.5446986393359897,3,200,7
dataset_name,RF,LCB,19,187.52332425117493,0.775,0.775,0.0,softplus,0.5476422394871799,2,200,12
dataset_name,RF,LCB,20,187.68740224838257,0.97,0.97,0.0,relu,0.15180266624455457,2,200,10
dataset_name,RF,LCB,21,187.3378939628601,0.8777777777777778,0.8777777777777778,0.0,relu,0.08829150976903113,3,200,9
dataset_name,RF,LCB,22,185.59520864486694,0.9857142857142858,0.9857142857142858,0.0,relu,0.4297600872428482,2,200,7
dataset_name,RF,LCB,23,183.03089475631714,0.97,0.97,0.0,relu,0.080336647541105,1,100,10
dataset_name,RF,LCB,24,191.3854832649231,0.9857142857142858,0.9857142857142858,0.0,relu,0.13967939285893827,3,300,7
dataset_name,RF,LCB,25,180.15850043296814,0.84,0.84,0.0,softplus,0.08255639088741398,2,200,5
dataset_name,RF,LCB,26,182.17548060417175,0.95,0.95,0.0,relu,0.21922786308534206,2,200,8
dataset_name,RF,LCB,27,180.48195576667786,0.8333333333333334,0.8333333333333334,0.0,softplus,0.16203803083170665,2,100,6
dataset_name,RF,LCB,28,187.73929357528687,0.9818181818181818,0.9818181818181818,0.0,relu,0.1315076902873415,1,200,11
dataset_name,RF,LCB,29,187.55474019050598,0.9769230769230769,0.9769230769230769,0.0,relu,0.15469126085426207,1,200,13
