dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,1073.3720586299896,-0.15478250308325803,-0.15478250308325803,0.0,softplus,0.6514267016354713,3,200,11
dataset_name,RF,LCB,1,236.26870107650757,-0.1374415034027911,-0.1374415034027911,0.0,softplus,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,224.7212872505188,-0.1070275648056425,-0.1070275648056425,0.0,relu,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,237.71004271507263,-0.09822070936129997,-0.09822070936129997,0.0,sigmoid,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,227.85460877418518,-0.1839316191479863,-0.1839316191479863,0.0,sigmoid,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,228.5622410774231,-0.13827823888611182,-0.13827823888611182,0.0,softplus,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,228.93577194213867,-0.21535989730040125,-0.21535989730040125,0.0,relu,0.8415156578131978,2,200,13
dataset_name,RF,LCB,7,220.7894299030304,-0.22489601991838984,-0.22489601991838984,0.0,sigmoid,0.9457034408998656,2,200,14
dataset_name,RF,LCB,8,241.60308718681335,-0.1629653546997483,-0.1629653546997483,0.0,sigmoid,0.9238404075938865,3,200,14
dataset_name,RF,LCB,9,222.0943787097931,-0.12148704472847056,-0.12148704472847056,0.0,sigmoid,0.9105228144689912,1,300,6
dataset_name,RF,LCB,10,220.8308928012848,-0.1176302011103723,-0.1176302011103723,0.0,sigmoid,0.8728816423223674,1,200,7
dataset_name,RF,LCB,11,230.2372977733612,-0.1067868411999849,-0.1067868411999849,0.0,softplus,0.8825645565286103,1,200,13
dataset_name,RF,LCB,12,228.83649826049805,-0.20961461881666302,-0.20961461881666302,0.0,sigmoid,0.8977465463421823,1,100,14
dataset_name,RF,LCB,13,232.14772176742554,-0.13196371097113616,-0.13196371097113616,0.0,sigmoid,0.8849299948262828,1,200,15
dataset_name,RF,LCB,14,232.2368779182434,-0.1445795871281511,-0.1445795871281511,0.0,softplus,0.9490275593342707,1,200,13
dataset_name,RF,LCB,15,230.58421516418457,-0.12480934714020414,-0.12480934714020414,0.0,sigmoid,0.862757357001421,1,200,15
dataset_name,RF,LCB,16,223.46484112739563,-0.1505626602188576,-0.1505626602188576,0.0,relu,0.8676465756036812,2,200,9
dataset_name,RF,LCB,17,231.44349265098572,-0.14664802863871942,-0.14664802863871942,0.0,sigmoid,0.8725925155928838,1,100,15
dataset_name,RF,LCB,18,221.09832954406738,-0.17714161276088822,-0.17714161276088822,0.0,sigmoid,0.8931810223662133,1,200,8
dataset_name,RF,LCB,19,238.418283700943,-0.051167173265361986,-0.051167173265361986,0.0,sigmoid,0.874433525731267,3,200,14
dataset_name,RF,LCB,20,236.44815230369568,-0.1259736311204051,-0.1259736311204051,0.0,sigmoid,0.8787222695460655,3,200,14
dataset_name,RF,LCB,21,236.71010327339172,-0.21648329181416698,-0.21648329181416698,0.0,sigmoid,0.8759377905521701,3,300,14
dataset_name,RF,LCB,22,238.6024980545044,-0.16692306833424386,-0.16692306833424386,0.0,relu,0.87483653515151,3,200,15
dataset_name,RF,LCB,23,238.17104721069336,-0.14349187731799992,-0.14349187731799992,0.0,sigmoid,0.8713511675768874,3,300,14
dataset_name,RF,LCB,24,235.17371726036072,-0.10545186026729578,-0.10545186026729578,0.0,sigmoid,0.8741864733407135,3,200,14
dataset_name,RF,LCB,25,228.14230155944824,-0.20653548125671345,-0.20653548125671345,0.0,sigmoid,0.8740291850356199,2,200,11
dataset_name,RF,LCB,26,224.1120343208313,-0.1441414952840135,-0.1441414952840135,0.0,sigmoid,0.8744863961534253,3,200,8
dataset_name,RF,LCB,27,234.53563690185547,-0.15057647096048277,-0.15057647096048277,0.0,sigmoid,0.8734176456846588,3,200,13
dataset_name,RF,LCB,28,234.16699051856995,-0.15375556627305614,-0.15375556627305614,0.0,softplus,0.8742671115898218,1,200,14
dataset_name,RF,LCB,29,229.9734239578247,-0.09037285417219149,-0.09037285417219149,0.0,sigmoid,0.8746336041822076,3,200,6
