dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,20.63223695755005,0.5909090909090909,0.5909090909090909,0.0,sigmoid,0.6514267016354713,3,100,11
dataset_name,RF,LCB,1,45.94499349594116,0.6357142857142857,0.6357142857142857,0.0,softplus,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,31.431809663772583,0.8,0.8,0.0,sigmoid,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,33.97189283370972,0.8428571428571429,0.8428571428571429,0.0,relu,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,23.64118003845215,0.8866666666666667,0.8866666666666667,0.0,relu,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,31.588108777999878,0.95,0.95,0.0,softplus,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,32.53388071060181,0.99,0.99,0.0,softplus,0.26371555394544705,1,300,10
dataset_name,RF,LCB,7,30.610519409179688,0.9272727272727272,0.9272727272727272,0.0,sigmoid,0.46733155208101723,1,300,11
dataset_name,RF,LCB,8,32.298744440078735,0.9666666666666667,0.9666666666666667,0.0,softplus,0.2820037411833251,1,300,12
dataset_name,RF,LCB,9,31.63330888748169,0.9625,0.9625,0.0,softplus,0.26988861336602704,1,300,8
dataset_name,RF,LCB,10,38.36984062194824,0.9272727272727272,0.9272727272727272,0.0,softplus,0.23567779770332373,2,300,11
dataset_name,RF,LCB,11,46.44422125816345,0.7833333333333333,0.7833333333333333,0.0,softplus,0.2871869610992666,3,300,12
dataset_name,RF,LCB,12,35.54276704788208,1.0,1.0,0.0,softplus,0.010093433349021914,2,300,8
dataset_name,RF,LCB,13,41.66067385673523,0.93,0.93,0.0,softplus,0.021482228652544805,3,300,10
dataset_name,RF,LCB,14,41.68282651901245,1.0,1.0,0.0,softplus,0.2530969838377679,3,300,5
dataset_name,RF,LCB,15,26.967342376708984,0.9444444444444444,0.9444444444444444,0.0,softplus,0.2723685705984333,3,100,9
dataset_name,RF,LCB,16,35.12425088882446,1.0,1.0,0.0,softplus,0.2802401402423593,3,200,5
dataset_name,RF,LCB,17,24.824949026107788,0.9571428571428572,0.9571428571428572,0.0,sigmoid,0.2804524830965612,3,100,7
dataset_name,RF,LCB,18,22.850241661071777,1.0,1.0,0.0,sigmoid,0.28319400506436304,3,100,5
dataset_name,RF,LCB,19,23.18947672843933,1.0,1.0,0.0,softplus,0.2839804246634699,3,100,7
dataset_name,RF,LCB,20,37.68335580825806,0.9833333333333333,0.9833333333333333,0.0,relu,0.28794728834519445,3,300,6
dataset_name,RF,LCB,21,35.47446894645691,1.0,1.0,0.0,sigmoid,0.32892136643794845,3,300,5
dataset_name,RF,LCB,22,31.068557262420654,0.98,0.98,0.0,softplus,0.3359089251386693,3,200,5
dataset_name,RF,LCB,23,22.198476791381836,1.0,1.0,0.0,softplus,0.35940046544869575,3,100,5
dataset_name,RF,LCB,24,40.25064492225647,0.88,0.88,0.0,softplus,0.4079149096843781,3,300,5
dataset_name,RF,LCB,25,26.10318374633789,1.0,1.0,0.0,sigmoid,0.3669146996464204,3,100,5
dataset_name,RF,LCB,26,26.789320707321167,0.96,0.96,0.0,softplus,0.36563385437432266,3,100,5
dataset_name,RF,LCB,27,22.599252700805664,0.98,0.98,0.0,sigmoid,0.3721849934659303,3,100,5
dataset_name,RF,LCB,28,21.938127994537354,0.9454545454545454,0.9454545454545454,0.0,relu,0.032230578205355596,3,100,11
dataset_name,RF,LCB,29,22.301901817321777,0.94,0.94,0.0,sigmoid,0.6339790061118354,3,100,5
