dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,21.59299063682556,-0.13492723796917205,-0.13492723796917205,0.0,sigmoid,0.6514267016354713,3,100,11
dataset_name,RF,LCB,1,45.436564207077026,-0.1528381460059993,-0.1528381460059993,0.0,softplus,0.36465738878542603,3,300,14
dataset_name,RF,LCB,2,32.1651713848114,-0.1988603776350623,-0.1988603776350623,0.0,sigmoid,0.8387810313581975,2,200,7
dataset_name,RF,LCB,3,29.77908492088318,-0.1877572898604243,-0.1877572898604243,0.0,relu,0.8722446495021363,1,200,14
dataset_name,RF,LCB,4,24.290848970413208,-0.23796485061461295,-0.23796485061461295,0.0,relu,0.5877208248666959,2,100,15
dataset_name,RF,LCB,5,38.552138566970825,-0.2380972247581191,-0.2380972247581191,0.0,softplus,0.29989507328903936,1,300,12
dataset_name,RF,LCB,6,28.38421940803528,-0.18721510354789989,-0.18721510354789989,0.0,sigmoid,0.8415156578131978,2,200,13
dataset_name,RF,LCB,7,28.849502086639404,-0.24668195745752491,-0.24668195745752491,0.0,sigmoid,0.6842188897407617,1,300,7
dataset_name,RF,LCB,8,21.094069242477417,-0.21779578948643552,-0.21779578948643552,0.0,sigmoid,0.6615567107396416,3,100,15
dataset_name,RF,LCB,9,35.48765826225281,-0.10688330198447411,-0.10688330198447411,0.0,sigmoid,0.6215335919800683,3,200,15
dataset_name,RF,LCB,10,34.77373194694519,-0.14876016745229564,-0.14876016745229564,0.0,sigmoid,0.6304414745033817,3,200,10
dataset_name,RF,LCB,11,26.65323042869568,-0.1045055124721612,-0.1045055124721612,0.0,sigmoid,0.5709619166198786,3,100,15
dataset_name,RF,LCB,12,27.14177179336548,-0.2130575825165124,-0.2130575825165124,0.0,sigmoid,0.5810615566763933,3,100,6
dataset_name,RF,LCB,13,27.851921796798706,-0.2213720586721198,-0.2213720586721198,0.0,sigmoid,0.6040360700348334,3,100,15
dataset_name,RF,LCB,14,41.5309944152832,-0.16058636835579662,-0.16058636835579662,0.0,sigmoid,0.5427697816610809,3,300,15
dataset_name,RF,LCB,15,44.40616846084595,-0.15252674189423657,-0.15252674189423657,0.0,sigmoid,0.45925464175761616,3,300,15
dataset_name,RF,LCB,16,20.632572174072266,-0.18586255155467182,-0.18586255155467182,0.0,sigmoid,0.5335328815995367,3,100,15
dataset_name,RF,LCB,17,20.773120164871216,-0.17766411437303678,-0.17766411437303678,0.0,sigmoid,0.5731030725336175,3,100,15
dataset_name,RF,LCB,18,30.048089265823364,-0.23086698976767567,-0.23086698976767567,0.0,softplus,0.564013625826257,3,200,5
dataset_name,RF,LCB,19,39.50794839859009,-0.358213621691449,-0.358213621691449,0.0,relu,0.5697975552204101,3,300,15
dataset_name,RF,LCB,20,38.57429528236389,-0.15527397286489703,-0.15527397286489703,0.0,sigmoid,0.5623645007521934,3,300,15
dataset_name,RF,LCB,21,41.02049994468689,-0.18832857175133827,-0.18832857175133827,0.0,sigmoid,0.568577283744651,3,300,15
dataset_name,RF,LCB,22,49.32202219963074,-0.24230294397946117,-0.24230294397946117,0.0,softplus,0.6401968880178942,3,300,15
dataset_name,RF,LCB,23,34.802048444747925,-0.08066359301571573,-0.08066359301571573,0.0,sigmoid,0.5713829766211695,2,300,15
dataset_name,RF,LCB,24,25.672152280807495,-0.19470879085672474,-0.19470879085672474,0.0,sigmoid,0.5701388649683536,1,200,12
dataset_name,RF,LCB,25,31.06691575050354,-0.17759679675598808,-0.17759679675598808,0.0,sigmoid,0.5704948928508765,1,300,15
dataset_name,RF,LCB,26,34.347968101501465,-0.24935270485070787,-0.24935270485070787,0.0,sigmoid,0.5740884204956683,2,300,14
dataset_name,RF,LCB,27,31.354620456695557,-0.1909121692301706,-0.1909121692301706,0.0,sigmoid,0.5712646228315035,1,300,13
dataset_name,RF,LCB,28,35.61862397193909,-0.23458617775392293,-0.23458617775392293,0.0,sigmoid,0.5714554997804404,2,300,13
dataset_name,RF,LCB,29,30.516172409057617,-0.13176178166538174,-0.13176178166538174,0.0,sigmoid,0.6166748140354439,3,200,15
